time lat long label 
time holder,-45,345,Point-45345
time holder,-45,360,Point-45360
time holder,-30,0,Point-300
time holder,-30,15,Point-3015
time holder,-30,30,Point-3030
time holder,-30,45,Point-3045
time holder,-30,60,Point-3060
time holder,-30,75,Point-3075
time holder,-30,90,Point-3090
time holder,-30,105,Point-30105
time holder,-30,120,Point-30120
time holder,-30,135,Point-30135
time holder,-30,150,Point-30150
time holder,-30,165,Point-30165
time holder,-30,180,Point-30180
time holder,-30,195,Point-30195
time holder,-30,210,Point-30210
time holder,-30,225,Point-30225
time holder,-30,240,Point-30240
time holder,-30,255,Point-30255
time holder,-30,270,Point-30270
time holder,-30,285,Point-30285
time holder,-30,300,Point-30300
time holder,-30,315,Point-30315
time holder,-30,330,Point-30330
time holder,-30,345,Point-30345
time holder,-30,360,Point-30360
time holder,-15,0,Point-150
time holder,-15,15,Point-1515
time holder,-15,30,Point-1530
time holder,-15,45,Point-1545
time holder,-15,60,Point-1560
time holder,-15,75,Point-1575
time holder,-15,90,Point-1590
time holder,-15,105,Point-15105
time holder,-15,120,Point-15120
time holder,-15,135,Point-15135
time holder,-15,150,Point-15150
time holder,-15,165,Point-15165
time holder,-15,180,Point-15180
time holder,-15,195,Point-15195
time holder,-15,210,Point-15210
time holder,-15,225,Point-15225
time holder,-15,240,Point-15240
time holder,-15,255,Point-15255
time holder,-15,270,Point-15270
time holder,-15,285,Point-15285
time holder,-15,300,Point-15300
time holder,-15,315,Point-15315
time holder,-15,330,Point-15330
time holder,-15,345,Point-15345
time holder,-15,360,Point-15360
time holder,0,0,Point00
time holder,0,15,Point015
time holder,0,30,Point030
time holder,0,45,Point045
time holder,0,60,Point060
time holder,0,75,Point075
time holder,0,90,Point090
time holder,0,105,Point0105
time holder,0,120,Point0120
time holder,0,135,Point0135
time holder,0,150,Point0150
time holder,0,165,Point0165
time holder,0,180,Point0180
time holder,0,195,Point0195
time holder,0,210,Point0210
time holder,0,225,Point0225
time holder,0,240,Point0240
time holder,0,255,Point0255
time holder,0,270,Point0270
time holder,0,285,Point0285
time holder,0,300,Point0300
time holder,0,315,Point0315
time holder,0,330,Point0330
time holder,0,345,Point0345
time holder,0,360,Point0360
time holder,15,0,Point150
time holder,15,15,Point1515
time holder,15,30,Point1530
time holder,15,45,Point1545
time holder,15,60,Point1560
time holder,15,75,Point1575
time holder,15,90,Point1590
time holder,15,105,Point15105
time holder,15,120,Point15120
time holder,15,135,Point15135
time holder,15,150,Point15150
time holder,15,165,Point15165
time holder,15,180,Point15180
time holder,15,195,Point15195
time holder,15,210,Point15210
time holder,15,225,Point15225
time holder,15,240,Point15240
time holder,15,255,Point15255
time holder,15,270,Point15270
time holder,15,285,Point15285
time holder,15,300,Point15300
time holder,15,315,Point15315
time holder,15,330,Point15330
time holder,15,345,Point15345
time holder,15,360,Point15360
time holder,30,0,Point300
time holder,30,15,Point3015
time holder,30,30,Point3030
time holder,30,45,Point3045
time holder,30,60,Point3060
time holder,30,75,Point3075
time holder,30,90,Point3090
time holder,30,105,Point30105
time holder,30,120,Point30120
time holder,30,135,Point30135
time holder,30,150,Point30150
time holder,30,165,Point30165
time holder,30,180,Point30180
time holder,30,195,Point30195
time holder,30,210,Point30210
time holder,30,225,Point30225
time holder,30,240,Point30240
time holder,30,255,Point30255
time holder,30,270,Point30270
time holder,30,285,Point30285
time holder,30,300,Point30300
time holder,30,315,Point30315
time holder,30,330,Point30330
time holder,30,345,Point30345
time holder,30,360,Point30360
time holder,45,0,Point450
time holder,45,15,Point4515
time holder,45,30,Point4530
time holder,45,45,Point4545
time holder,45,60,Point4560
time holder,45,75,Point4575
time holder,45,90,Point4590
time holder,45,105,Point45105
time holder,45,120,Point45120
time holder,45,135,Point45135
time holder,45,150,Point45150
time holder,45,165,Point45165
time holder,45,180,Point45180
time holder,45,195,Point45195
time holder,45,210,Point45210
time holder,45,225,Point45225
time holder,45,240,Point45240
time holder,45,255,Point45255
time holder,45,270,Point45270
time holder,45,285,Point45285
time holder,45,300,Point45300
time holder,45,315,Point45315
time holder,45,330,Point45330
time holder,45,345,Point45345
time holder,45,360,Point45360
time holder,60,0,Point600
time holder,60,15,Point6015
time holder,60,30,Point6030
time holder,60,45,Point6045
time holder,60,60,Point6060
time holder,60,75,Point6075
time holder,60,90,Point6090
time holder,60,105,Point60105
time holder,60,120,Point60120
time holder,60,135,Point60135
time holder,60,150,Point60150
time holder,60,165,Point60165
time holder,60,180,Point60180
time holder,60,195,Point60195
time holder,60,210,Point60210
time holder,60,225,Point60225
time holder,60,240,Point60240
time holder,60,255,Point60255
time holder,60,270,Point60270
time holder,60,285,Point60285
time holder,60,300,Point60300
time holder,60,315,Point60315
time holder,60,330,Point60330
time holder,60,345,Point60345
time holder,60,360,Point60360
time holder,75,0,Point750
time holder,75,15,Point7515
time holder,75,30,Point7530
time holder,75,45,Point7545
time holder,75,60,Point7560
time holder,75,75,Point7575
time holder,75,90,Point7590
time holder,75,105,Point75105
time holder,75,120,Point75120
time holder,75,135,Point75135
time holder,75,150,Point75150
time holder,75,165,Point75165
time holder,75,180,Point75180
time holder,75,195,Point75195
time holder,75,210,Point75210
time holder,75,225,Point75225
time holder,75,240,Point75240
time holder,75,255,Point75255
time holder,75,270,Point75270
time holder,75,285,Point75285
time holder,75,300,Point75300
time holder,75,315,Point75315
time holder,75,330,Point75330
time holder,75,345,Point75345
time holder,75,360,Point75360
time holder,90,0,Point900
time holder,90,15,Point9015
time holder,90,30,Point9030
time holder,90,45,Point9045
time holder,90,60,Point9060
time holder,90,75,Point9075
time holder,90,90,Point9090
time holder,90,105,Point90105
time holder,90,120,Point90120
time holder,90,135,Point90135
time holder,90,150,Point90150
time holder,90,165,Point90165
time holder,90,180,Point90180
time holder,90,195,Point90195
time holder,90,210,Point90210
time holder,90,225,Point90225
time holder,90,240,Point90240
time holder,90,255,Point90255
time holder,90,270,Point90270
time holder,90,285,Point90285
time holder,90,300,Point90300
time holder,90,315,Point90315
time holder,90,330,Point90330
time holder,90,345,Point90345
time holder,90,360,Point90360
